movieid,title,mpaa_rating,budget,gross,release_date,genre,runtime,rating,rating_count,summary
166,George of the Jungle,PG,55000000,174400000,1997-07-15,Family,92,5.4,66725,A man raised in the jungle by apes falls in love with a wealthy American heiress.
167,The Lost World: Jurassic Park,PG-13,73000000,229074524,1997-05-23,Action,129,6.6,353168,"A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda."
168,Con Air,R,75000000,224012234,1997-06-01,Action,115,6.9,261542,Newly paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner transport plane when the passengers seize control.
169,Conspiracy Theory,R,75000000,136982834,1997-08-07,Action,135,6.7,88858,"A man obsessed with conspiracy theories becomes a target after one of his theories turns out to be true. Unfortunately, in order to save himself, he has to figure out which theory it is."
170,Face/Off,R,80000000,245676146,1997-06-27,Thriller,138,7.3,331618,"In order to foil a terrorist plot, an FBI agent undergoes a facial transplant surgery and assumes the identity and physical appearance of a terrorist, but the plan turns from bad to worse when the same terrorist impersonates the FBI agent."
171,Flubber,PG,80000000,177977226,1997-11-26,Science Fiction,93,5.3,79581,"An absent-minded professor discovers flubber, a rubber-like super-bouncy substance."
172,Hercules,G,85000000,252712101,1997-06-26,Animation,93,7.3,188044,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.
173,Air Force One,R,85000000,315156409,1997-07-25,Action,124,6.5,170035,"Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a Veteran, fights to rescue the hostages on board."
174,Men in Black,PG-13,90000000,589390539,1997-07-02,Thriller,98,7.3,486947,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.
175,Contact,PG,90000000,171120329,1997-07-11,Science Fiction,150,7.4,239569,"Dr. Ellie Arroway (Jodie Foster), after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine."
176,Tomorrow Never Dies,PG-13,110000000,333011068,1997-12-11,Action,119,6.5,171081,James Bond heads to stop a media moguls plan to induce war between China and the UK in order to obtain exclusive global media coverage.
177,Batman and Robin,PG-13,160000000,238200000,1997-06-12,Action,125,7.8,978389,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.
178,Titanic,PG-13,200000000,1845034188,1997-11-18,Romance,194,7.8,978389,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
179,There's Something About Mary,R,23000000,369884651,1998-07-15,Romance,119,7.1,278096,"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster."
180,The Waterboy,PG-13,23000000,185991646,1998-11-06,Comedy,90,6.1,140363,A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.
181,Shakespeare in Love,R,25000000,289317794,1998-12-11,History,122,7.1,203939,"A young Shakespeare, out of ideas and short of cash, meets his ideal woman and is inspired to write one of his most famous plays."
182,The Rugrats Movie,G,30000000,100491683,1998-11-20,Animation,79,5.9,17025,"Tommy, Chuckie, Phil and Lil gets lost in the forest after adopting a baby who has come to life."
183,Rush Hour,PG-13,33000000,244386864,1998-09-18,Comedy,98,7,224449,"A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consuls kidnapped daughter, while trying to arrest a dangerous crime lord along the way."
184,Stepmom,PG-13,50000000,159700000,1998-12-25,Drama,124,6.8,56910,"A terminally-ill woman must deal with her ex-husbands new lover, who will be their childrens stepmother."
185,Patch Adams,PG-13,50000000,202292902,1998-12-25,Drama,115,6.8,97429,"The true story of a heroic man, Hunter Patch Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos."
186,The Truman Show,PG,60000000,264118201,1998-06-04,Comedy,103,8.1,859224,An insurance salesman discovers his whole life is actually a reality TV show.
187,You've Got Mail,PG,65000000,250821495,1998-12-17,Romance,119,6.6,180707,Two business rivals who despise each other in real life unwittingly fall in love over the Internet.
188,Saving Private Ryan,R,70000000,481840909,1998-07-24,War,169,8.6,1140752,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
189,The Prince of Egypt,PG,70000000,218613188,1998-12-15,Animation,99,7.1,110340,An Egyptian prince learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.
190,Doctor Dolittle,PG-13,71000000,294456605,1998-06-22,Family,85,5.4,87146,A doctor discovers that he can communicate with animals.
191,Deep Impact,PG-13,75000000,140464664,1998-05-08,Drama,120,6.2,153606,"Unless a comet can be destroyed before colliding with Earth, only those allowed into shelters will survive. Which people will survive?"
192,Mulan,G,90000000,304320254,1998-06-18,Animation,88,7.6,229669,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of Chinas greatest heroines in the process."
193,Enemy of the State,R,90000000,250649836,1998-11-20,Thriller,132,7.3,216789,A lawyer becomes a target by a corrupt politician and his N.S.A. goons when he accidentally receives key evidence to a serious politically motivated crime.
194,The Mask of Zorro,PG-13,95000000,250288523,1998-07-16,Action,136,6.7,159093,"A young thief (Antonio Banderas), seeking revenge for the death of his brother, is trained by the once great, but aged Zorro (Sir Anthony Hopkins), who also pursues vengeance of his own."
195,A Bug's Life,G,120000000,363258859,1998-11-25,Animation,95,7.2,251436,"A misfit ant, looking for warriors to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe."
196,Godzilla,PG-13,130000000,379014294,1998-05-20,Thriller,139,5.4,174600,"A giant, reptilian monster surfaces, leaving destruction in its wake as it strides into New York City. To stop it, an earthworm scientist, his reporter ex-girlfriend, and other unlikely heroes team up to save their city."
197,Armageddon,PG-13,140000000,553799566,1998-07-01,Science Fiction,151,6.7,376785,"After discovering that an asteroid the size of Texas is going to impact Earth in less than a month, N.A.S.A. recruits a misfit team of deep core drillers to save the planet."
198,Lethal Weapon 4,R,140000000,285444603,1998-07-10,Comedy,127,6.6,145685,"With personal crises and age weighing in on them, LAPD officers Riggs and Murtaugh must contend with deadly Chinese triads that are trying to free their former leaders out of prison and onto American soil."
199,The Blair Witch Project,R,60000,248000000,1999-07-14,Horror,81,6.5,220304,"Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind."
200,American Pie,R,11000000,235483004,1999-07-09,Comedy,95,7,357670,Four teenage boys enter a pact to lose their virginity by prom night.
201,American Beauty,R,15000000,356296601,1999-09-15,Drama,122,8.3,1007472,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughters best friend.
202,Big Daddy,PG-13,34200000,234801895,1999-06-25,Comedy,93,6.4,188280,"A lazy law school grad adopts a kid to impress his girlfriend, but everything doesnt go as planned and he becomes the unlikely foster father."
203,The Sixth Sense,PG-13,40000000,672806292,1999-08-06,Thriller,107,8.1,860079,A boy who communicates with spirits seeks the help of a disheartened child psychologist.
204,Notting Hill,PG-13,42000000,363889678,1999-05-13,Romance,124,7.1,251006,The life of a simple bookshop owner changes when he meets the most famous film star in the world.
205,The General's Daughter,R,60000000,149705852,1999-06-18,Thriller,116,6.3,49909,"When the daughter of a well-known and well-respected base commander is murdered, an undercover detective is summoned to look into the matter and finds a slew of cover-ups at West Point."
206,The Green Mile,R,60000000,284600000,1999-12-10,Fantasy,189,8.6,1046936,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
207,The Matrix,R,63000000,463517383,1999-03-30,Science Fiction,136,8.7,1550148,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
208,Runaway Bride,PG,70000000,309457509,1999-07-30,Romance,116,5.5,88557,A reporter is assigned to write a story about a woman who has left a string of fiances at the altar.
209,Double Jeopardy,R,70000000,177841558,1999-09-24,Crime,105,6.5,67389,"A woman framed for her husbands murder suspects he is still alive; as she has already been tried for the crime, she cant be re-prosecuted if she finds and kills him."
210,Analyze This,R,80000000,176885658,1999-03-05,Comedy,103,6.7,139603,A comedy about a psychiatrist whose number one patient is an insecure mob boss.
211,The Mummy,PG-13,80000000,415885488,1999-04-16,Adventure,124,7,372009,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreck havoc as he searches for the reincarnation of his long-lost love."
212,Toy Story 2,G,90000000,497366869,1999-10-30,Animation,92,7.9,489299,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
213,Star Wars: Episode I - The Phantom Menace,PG,115000000,924317558,1999-05-19,Science Fiction,136,6.5,667362,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their old glory."
214,Stuart Little,PG,133000000,300135367,1999-12-17,Family,84,5.9,117811,"The Little family adopt a charming young mouse named Stuart, but the family cat wants rid of him."
215,The World Is Not Enough,PG-13,135000000,361832400,1999-11-08,Adventure,128,7.4,545440,"James Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain."
216,Tarzan,PG,150000000,448000000,1999-06-18,Animation,88,7.3,187724,A man raised by gorillas must decide where he really belongs when he discovers he is a human.
217,Wild Wild West,PG-13,170000000,222104681,1999-06-29,Western,106,4.9,146265,"The two best special agents in the Wild West must save President Grant from the clutches of a diabolical, wheelchair-bound, steampunk-savvy, Confederate scientist bent on revenge for losing the Civil War."
218,"Crouching Tiger, Hidden Dragon",PG-13,17000000,213525736,2000-10-01,Romance,120,7.8,242878,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.
219,Scary Movie,R,19000000,278019771,2000-07-07,Comedy,88,6.2,219032,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer."
220,Big Momma's House,PG-13,30000000,173959438,2000-05-31,Crime,98,5.1,77180,"In order to protect a beautiful woman and her son from a robber, a male FBI agent disguises himself as a large grandmother."
221,Remember the Titans,PG,30000000,136706683,2000-09-29,Drama,113,7.8,186997,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
222,Chicken Run,G,45000000,224834564,2000-06-21,Comedy,84,7,167036,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners."
223,Traffic,R,48000000,207515725,2000-12-27,Drama,147,7.6,188060,"A conservative judge is appointed by the President to spearhead Americas escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug barons wife attempts to carry on the family business."
224,Erin Brockovich,R,52000000,256271286,2000-03-17,Drama,131,7.3,161958,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a citys water supply.
225,Meet the Parents,PG-13,55000000,330444045,2000-10-06,Comedy,108,7,296549,"Male nurse Greg Focker meets his girlfriends parents before proposing, but her suspicious father is every dates worst nightmare."
226,What Women Want,PG-13,70000000,374111707,2000-12-15,Comedy,127,6.4,182948,"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking."
227,X-Men,PG-13,75000000,296339527,2000-07-13,Adventure,104,7.4,545440,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men."
228,Nutty Professor II: The Klumps,PG-13,84000000,123307945,2000-07-27,Comedy,106,4.4,46222,"Scientist Sherman Klumps inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love."
229,Cast Away,PG-13,90000000,429632142,2000-12-22,Drama,143,7.8,482899,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
230,Charlie's Angels,PG-13,92000000,264105545,2000-11-02,Comedy,98,5.5,166141,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal."
231,What Lies Beneath,PG-13,100000000,155464351,2000-07-21,Drama,130,6.6,111917,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.
232,Gladiator,R,103000000,457640427,2000-05-01,Action,155,8.5,1243670,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
233,The Patriot,R,110000000,215294342,2000-06-28,History,165,7.2,241120,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.
234,The Perfect Storm,PG-13,120000000,325756637,2000-03-15,Drama,130,6.4,148948,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.
235,How the Grinch Stole Christmas,PG,123000000,345141403,2000-11-17,Family,104,6.1,186192,"On the outskirts of Whoville, there lives a green, revenge-seeking Grinch (Jim Carrey), who plans on ruining Christmas for all of the citizens of the town."
236,Mission: Impossible II,PG-13,125000000,546388105,2000-05-24,Adventure,123,6.1,296109,"I.M.F. Agent Ethan Hunt (Tom Cruise) is sent to Sydney, Australia to find and destroy a genetically modified disease called Chimera."
237,Dinosaur,PG,127500000,354248063,2000-05-19,Animation,82,6.5,48922,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.
238,American Pie 2,R,30000000,287553595,2001-08-10,Comedy,108,6.4,228537,"Jim and his friends are now in college, and they decide to meet up at the beach house for some fun."
239,Spy Kids,PG,35000000,147934180,2001-03-18,Family,88,5.4,101720,The children of secret-agent parents must save them from danger.
240,The Princess Diaries,G,37000000,165335153,2001-08-03,Romance,115,6.3,118754,"Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year."
241,The Fast and the Furious,PG-13,38000000,207283925,2001-06-22,Crime,106,6.8,327057,Los Angeles police officer Brian OConner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.
242,Shrek,PG,60000000,484409218,2001-05-16,Animation,90,7.8,574978,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
243,A Beautiful Mind,PG-13,60000000,313542341,2001-12-11,Drama,135,8.2,788060,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
244,Vanilla Sky,R,68000000,203388341,2001-12-10,Mystery,136,6.9,237238,A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.
245,Dr. Dolittle 2,PG,70000000,176104344,2001-06-22,Comedy,87,4.7,39656,Dolittle must save a forest and a bears life.
246,Ocean's Eleven,PG-13,85000000,450717150,2001-12-07,Thriller,116,7.8,482386,Danny Ocean and his eleven accomplices plan to rob three Las Vegas casinos simultaneously.
247,Hannibal,PG-13,87000000,351692268,2001-02-08,Thriller,131,6.8,240535,"Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target for revenge from a powerful victim."
248,Rush Hour 2,PG-13,90000000,347325802,2001-08-03,Comedy,90,6.6,188755,"Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam."
249,Black Hawk Down,R,92000000,172989651,2001-12-28,War,144,7.7,345280,160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.
250,Jurassic Park III,PG-13,93000000,368780809,2001-07-18,Adventure,92,5.9,280110,"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the islands new inhabitants."
251,The Lord of the Rings: The Fellowship of the Ring,PG-13,93000000,871368364,2001-12-18,Fantasy,178,8.8,1545228,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
252,The Mummy Returns,PG-13,98000000,433013274,2001-04-28,Adventure,130,6.3,287749,"The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror."
253,Planet of the Apes,PG-13,100000000,362211740,2001-07-25,Science Fiction,119,5.7,203564,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans."
254,Lara Croft: Tomb Raider,PG-13,115000000,274703340,2001-06-11,Adventure,100,5.8,188607,Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.
255,"Monsters, Inc.",G,115000000,562816256,2001-11-01,Comedy,92,8,758349,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
256,Harry Potter and the Sorcerer's Stone,PG,125000000,975100000,2001-11-04,Fantasy,152,7.6,583224,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
257,Pearl Harbor,PG-13,140000000,449220945,2001-05-21,War,183,6.2,297066,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.
258,My Big Fat Greek Wedding,PG,5000000,368744044,2002-02-22,Comedy,95,6.5,114907,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.
259,Sweet Home Alabama,PG-13,30000000,180622424,2002-09-26,Romance,108,6.2,96978,"A young woman whos reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband, after seven years of separation."
260,The Ring,PG-13,48000000,249348933,2002-10-18,Horror,115,7.1,303397,A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.
261,Mr. Deeds,PG-13,50000000,171269535,2002-06-28,Comedy,96,5.8,129182,"A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way."
262,Ice Age,PG,59000000,383257136,2002-03-10,Animation,81,7.5,411963,"Set during the Ice Age, a sabertooth tiger, a sloth, and a wooly mammoth find a lost human infant, and they try to return him to his tribe."
263,The Bourne Identity,PG-13,60000000,214034224,2002-06-14,Action,119,7.9,481712,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
264,Austin Powers in Goldmember,PG-13,63000000,296655431,2002-07-26,Science Fiction,94,6.2,186825,"Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil."
265,The Santa Clause 2,G,65000000,172855065,2002-10-31,Family,104,5.6,45755,"Scott Calvin has been a humble Santa Claus for nearly ten years, but it might come to an end if he doesnt find a Mrs. Claus."
266,xXx,PG-13,70000000,277448382,2002-08-09,Adventure,124,5.9,167855,"An extreme sports athlete, Xander Cage, is recruited by the government on a special mission."
267,Signs,PG-13,72000000,408247917,2002-08-02,Science Fiction,106,6.7,321975,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.
268,The Lord of the Rings: The Two Towers,PG-13,79000000,926287400,2002-12-18,Fantasy,179,8.7,1383826,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Saurons new ally, Saruman, and his hordes of Isengard."
269,Lilo & Stitch,PG,80000000,145771527,2002-06-21,Animation,85,6.7,351725, A Hawaiian girl adopts an unusual pet who is actually a notorious extra-terrestrial fugitive.
270,Scooby-Doo,PG,84000000,275650703,2002-06-14,Mystery,88,5,90185,"After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on."
271,Harry Potter and the Chamber of Secrets,PG,100000000,876688482,2002-11-13,Fantasy,161,7.4,505027,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.
272,Minority Report,PG-13,102000000,358372926,2002-06-20,Science Fiction,145,7.6,477892,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
273,Star Wars: Episode II - Attack of the Clones,PG-13,120000000,649398328,2002-05-15,Science Fiction,142,6.6,587304,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmï¿½ Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi."
274,Spider-Man,PG-13,139000000,821708551,2002-05-01,Fantasy,121,7.3,652224,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family."
275,Men in Black 2,PG-13,140000000,441800000,2002-07-03,Action,88,7.4,489354,Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.
276,Die Another Day,PG-13,140000000,431971116,2002-11-17,Adventure,133,6.1,194441,"James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon."
277,Bringing Down the House,PG-13,20000000,132675402,2003-03-07,Comedy,105,5.6,33619,"When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life."
278,Elf,PG,32000000,173398518,2003-10-09,Comedy,97,6.9,194453,"After discovering he is a human, a man raised as an elf at the North Pole decides to travel to New York City to locate his real father."
279,Spy Kids 3-D: Game Over,PG,38000000,197011982,2003-07-25,Family,84,4.2,50809,"Carmens caught in a virtual reality game designed by the Kids new nemesis, the Toymaker. Its up to Juni to save his sister, and ultimately the world."
280,Cheaper by the Dozen,PG,40000000,190212113,2003-12-24,Comedy,98,5.8,88445,"With his wife doing a book tour, a father of twelve must handle a new job and his unstable brood."
281,Anger Management,PG-13,75000000,195745823,2003-04-11,Comedy,106,6.2,194353,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor."
282,2 Fast 2 Furious,PG-13,76000000,236350661,2003-06-05,Thriller,107,5.9,236645,Former cop Brian OConner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.
283,Bruce Almighty,PG-13,80000000,484572835,2003-05-23,Comedy,101,6.7,351725,A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.
284,S.W.A.T.,PG-13,80000000,116643346,2003-08-08,Crime,117,6,132856,"An imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody, and only the L.A.P.D.s Special Weapons and Tactics team can prevent it."
285,Something's Gotta Give,PG-13,80000000,266728738,2003-12-12,Drama,128,6.7,105201,A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.
286,Seabiscuit,PG-13,87000000,148336445,2003-07-22,Drama,141,7.3,63813,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.
287,Finding Nemo,G,94000000,940335536,2003-05-30,Animation,100,8.1,887773,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
288,The Lord of the Rings: The Return of the King,PG-13,94000000,1118888979,2003-12-01,Fantasy,201,8.9,1529953,Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
289,X2: X-Men United,PG-13,110000000,407700000,2003-05-02,Action,133,7.4,489354,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him."
290,Bad Boys II,R,130000000,273339556,2003-07-18,Comedy,147,6.6,210294,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.
291,Hulk,PG-13,137000000,245360480,2003-06-19,Science Fiction,138,5.6,242722,"Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry."
292,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,140000000,655011224,2003-07-09,Adventure,143,8,976208,"Blacksmith Will Turner teams up with eccentric pirate Captain Jack Sparrow to save his love, the governors daughter, from Jacks former pirate allies, who are now undead."
293,The Last Samurai,R,140000000,456758981,2003-12-05,War,154,7.7,376039,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.
294,The Matrix Reloaded,R,150000000,738599701,2003-05-15,Science Fiction,138,7.2,487328,"Following the events of The Matrix (1999), Neo and the rebel leaders estimate they have 72 hours until 250,000 probes discover Zion and destroy it and its inhabitants. Neo must decide how he can save Trinity from a dark fate in his dreams."
295,The Matrix Revolutions,R,150000000,424988211,2003-11-05,Science Fiction,129,6.7,423134,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.
296,Terminator 3: Rise of the Machines,R,200000000,435000000,2003-07-02,Thriller,109,6.3,357127,A cybernetic warrior from a post-apocalyptic future travels back in time to protect a 25-year old drifter and his future wife from a most advanced robotic assassin and to ensure they both survive a nuclear attack.
297,Fahrenheit 9/11,R,6000000,119114517,2004-06-25,Drama,122,7.5,123244,Michael Moores view on what happened to the United States after September 11; and how the Bush Administration allegedly used the tragic event to push forward its agenda for unjust wars in Afghanistan and Iraq.
298,DodgeBall: A True Underdog Story,PG-13,20000000,167722310,2004-06-18,Comedy,92,6.1,232864, A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.
299,The Passion of the Christ,R,30000000,611899420,2004-02-25,Drama,127,7.1,203486,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem."
300,The Village,PG-13,60000000,256697520,2004-07-30,Drama,108,6.5,231358,A series of events tests the beliefs of a small isolated countryside village.
301,50 First Dates,PG-13,75000000,196482882,2004-02-13,Comedy,99,6.8,308950,"Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think hes finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the next day."
302,The Bourne Supremacy,PG-13,75000000,288500217,2004-07-23,Action,108,7.7,412796,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
303,Shark Tale,PG,75000000,367275019,2004-09-20,Animation,90,6,157494,"When a son of a gangster shark boss is accidentally killed while on the hunt, his would-be prey and his vegetarian brother decide to use the incident to their own advantage."
304,Meet the Fockers,PG-13,80000000,516642939,2004-12-22,Comedy,115,6.3,241144,All hell breaks loose when the Byrnes family meets the Focker family for the first time.
305,The Incredibles,PG,92000000,631442092,2004-11-05,Animation,115,8,617102,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
306,National Treasure,PG,100000000,347451894,2004-11-19,Mystery,131,6.8,289084,A historian races to find the legendary Templar Treasure before a team of mercenaries.
307,Ocean's Twelve,PG-13,110000000,362744280,2004-12-09,Thriller,125,6.5,337180,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Oceans 11.
308,"I, Robot",PG-13,120000000,347234916,2004-07-15,Science Fiction,115,7.1,472748,"In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity."
309,The Day After Tomorrow,PG-13,125000000,544272402,2004-05-26,Action,124,6.4,393340,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age."
310,Harry Potter and the Prisoner of Azkaban,PG,130000000,789804554,2004-05-31,Fantasy,141,7.9,501648,"Its Harrys third year at Hogwarts; not only does he have a new Defense Against the Dark Arts teacher, but there is also trouble brewing. Convicted murderer Sirius Black has escaped the Wizards Prison and is coming after Harry."
311,Lemony Snicket's A Series of Unfortunate Events,PG,140000000,209073645,2004-12-16,Comedy,108,6.8,187021,"When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents vast fortune."
312,Shrek 2,PG,150000000,919838758,2004-05-19,Animation,93,7.2,391295,Princess Fionas parents invite her and Shrek to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.
313,Van Helsing,PG-13,160000000,300257475,2004-05-05,Horror,132,6.1,232864,The notorious monster hunter is sent to Transylvania to stop Count Dracula who is using Dr. Frankensteins research and a werewolf for some sinister purpose.
314,The Polar Express,G,165000000,305875730,2004-11-10,Animation,100,6.6,158237,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas."
