movieid,title,mpaa_rating,budget,gross,release_date,genre,runtime,rating,rating_count,summary
513,Transformers: Age of Extinction,PG-13,210000000,1091405097,2014-06-25,Action,165,,,
514,X-Men: Days of Future Past,PG-13,250000000,747862775,2014-05-15,Action,131,,,
515,The Hobbit: The Battle of the Five Armies,PG-13,250000000,956019788,2014-12-10,Fantasy,144,,,
516,Straight Outta Compton,R,28000000,201634991,2015-08-13,Drama,147,,,
517,Pitch Perfect 2,PG-13,29000000,287506194,2015-05-07,Comedy,115,,,
518,Fifty Shades of Grey,R,40000000,571006128,2015-02-11,Drama,125,,,
519,The SpongeBob Movie: Sponge Out of Water,PG,74000000,311594032,2015-02-05,Animation,93,,,
520,Minions,PG,74000000,1156730962,2015-06-17,Animation,91,,,
521,Hotel Transylvania 2,PG,80000000,473226958,2015-09-21,Animation,89,,,
522,Cinderella,PG,95000000,543514353,2015-03-12,Drama,105,,,
523,The Martian,PG-13,108000000,630161890,2015-09-30,Science Fiction,141,,,
524,San Andreas,PG-13,110000000,470490832,2015-05-27,Thriller,114,,,
525,Ant-Man,PG-13,130000000,519311965,2015-07-14,Action,117,,,
526,Home,PG,135000000,368871007,2015-03-18,Animation,94,,,
527,The Revenant,R,135000000,532950503,2015-12-25,Western,156,,,
528,Jurassic World,PG-13,150000000,1513528810,2015-06-09,Thriller,124,,,
529,Mission: Impossible - Rogue Nation,PG-13,150000000,682330139,2015-07-23,Action,131,,,
530,The Hunger Games: Mockingjay - Part 2,PG-13,160000000,653428261,2015-11-18,Adventure,137,,,
531,Inside Out,PG,175000000,857611174,2015-06-09,Animation,94,,,
532,Furious 7,PG-13,190000000,1506249360,2015-04-01,Action,137,,,
533,Spectre,PG-13,245000000,880674609,2015-10-26,Crime,148,,,
534,Star Wars: The Force Awakens,PG-13,245000000,2068223624,2015-12-15,Science Fiction,136,,,
535,Avengers: Age of Ultron,PG-13,280000000,1405403694,2015-04-22,Action,141,,,
536,Hidden Figures,PG,25000000,230698791,2016-12-10,Drama,127,,,
537,La La Land,PG-13,30000000,445435700,2016-11-29,Drama,128,,,
538,Deadpool,R,58000000,783112979,2016-02-09,Comedy,108,,,
539,The Secret Life of Pets,PG,75000000,875457937,2016-06-18,Animation,87,,,
540,Sing,PG,75000000,632443719,2016-11-23,Animation,108,,,
541,Jason Bourne,PG-13,120000000,415484914,2016-07-27,Action,123,,,
542,Trolls,PG,125000000,346864462,2016-10-13,Animation,92,,,
543,Ghostbusters,PG-13,144000000,229147509,2016-07-14,Thriller,116,,,
544,Zootopia,PG,150000000,1023784195,2016-02-11,Animation,108,,,
545,Moana,PG,150000000,643034466,2016-11-23,Animation,107,,,
546,Doctor Strange,PG-13,165000000,677718395,2016-10-25,Action,115,,,
547,The Jungle Book,PG,175000000,966550600,2016-04-07,Action,106,,,
548,Suicide Squad,PG-13,175000000,745600054,2016-08-02,Action,123,,,
549,X-Men: Apocalypse,PG-13,178000000,543934787,2016-05-18,Action,144,,,
550,Fantastic Beasts and Where to Find Them,PG-13,180000000,809342332,2016-11-16,Fantasy,133,,,
551,Star Trek Beyond,PG-13,185000000,343471816,2016-07-07,Science Fiction,122,,,
552,Finding Dory,PG,200000000,1028570889,2016-06-16,Animation,97,,,
